ID_REDE,CD_OPERADORA,NO_RAZAO,GR_MODALIDADE,DE_PORTE,ID_PLANO,CD_PLANO,TP_VIGENCIA_PLANO,CONTRATACAO,DE_TIPO_CONTRATACAO,DE_TIPO_MODALIDADE_FINM,SEGMENTACAO_ASSISTENCIAL,DE_TIPO_ABRANGENCIA_GEOGRAFICA,LG_FATOR_MODERADOR,DE_SITUACAO_PRINCIPAL,CD_SITUACAO_PLANO,ID_ESTABELECIMENTO_SAUDE,CD_CNPJ_ESTB_SAUDE,CD_CNES,NM_ESTABELECIMENTO_SAUDE,DE_CLAS_ESTB_SAUDE,LG_URGENCIA_EMERGENCIA,DE_TIPO_PRESTADOR,DE_TIPO_CONTRATO,DE_DISPONIBILIDADE,CD_MUNICIPIO,NM_MUNICIPIO,SG_UF,DT_VINCULO_INICIO,DT_VINCULO_FIM,NM_REGIAO,DT_ATUALIZACAO
1331886 5976592,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,1331886,433378001,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,1,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,5976592,08833691000116,2362821,CLIPSI CLIN PRONTO SOCORRO INF E HOSPITAL GERAL,Assistencia Hospitalar,1,Contratualizado,Direto,Parcial,250400,CAMPINA GRANDE,PB,2000-08-23,,NORDESTE,2024-07-24
1331896 5976590,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,1331896,433373000,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,1,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,5976590,70100912000110,3127168,CLIN DE FRATURAS DE CAMPINA GRANDE,Assistencia Hospitalar,0,Contratualizado,Direto,Nao inform,250400,CAMPINA GRANDE,PB,2000-08-23,,NORDESTE,2024-07-24
1331884 5976595,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,1331884,433379009,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,1,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,5976595,08526006000109,2363070,HOSP PEDRO I,Assistencia Hospitalar,1,Contratualizado,Direto,Parcial,250400,CAMPINA GRANDE,PB,2000-08-23,,NORDESTE,2024-07-24
1331892 5976590,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,1331892,433375006,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,1,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,5976590,70100912000110,3127168,CLIN DE FRATURAS DE CAMPINA GRANDE,Assistencia Hospitalar,0,Contratualizado,Direto,Nao inform,250400,CAMPINA GRANDE,PB,2000-08-23,,NORDESTE,2024-07-24
16790920 227380805,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,16790920,479118175,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,0,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,227380805,08830721000130,2613735,INSTITUTO NEUROPSIQUIATRICO DE CAMPINA GRANDE SC LTDA,Assistencia Hospitalar,1,Contratualizado,Indireto,Parcial,250400,CAMPINA GRANDE,PB,2017-09-26,,NORDESTE,2024-07-24
16790920 227380930,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,16790920,479118175,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,0,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,227380930,41210014000117,3148815,HOSPITAL DE OLHOS DE CAMPINA GRANDE S S LTDA  EPP,Assistencia Hospitalar,0,Contratualizado,Indireto,Parcial,250400,CAMPINA GRANDE,PB,2017-09-26,,NORDESTE,2024-07-24
17521580 227380805,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,17521580,479787186,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,0,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,227380805,08830721000130,2613735,INSTITUTO NEUROPSIQUIATRICO DE CAMPINA GRANDE SC LTDA,Assistencia Hospitalar,1,Contratualizado,Indireto,Parcial,250400,CAMPINA GRANDE,PB,2018-01-12,,NORDESTE,2024-07-24
16791021 227380791,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,16791021,479124170,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,0,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,227380791,07678950000119,2613743,SISTEMA DE ASSISTENCIA SOCIAL E DE SAUDE  SAS,Assistencia Hospitalar,0,Contratualizado,Indireto,Parcial,250400,CAMPINA GRANDE,PB,2017-09-26,,NORDESTE,2024-07-24
16790981 227380930,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,16790981,479120177,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,0,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,227380930,41210014000117,3148815,HOSPITAL DE OLHOS DE CAMPINA GRANDE S S LTDA  EPP,Assistencia Hospitalar,0,Contratualizado,Indireto,Parcial,250400,CAMPINA GRANDE,PB,2017-09-26,,NORDESTE,2024-07-24
17521620 227380930,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,17521620,479791184,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,0,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,227380930,41210014000117,3148815,HOSPITAL DE OLHOS DE CAMPINA GRANDE S S LTDA  EPP,Assistencia Hospitalar,0,Contratualizado,Indireto,Parcial,250400,CAMPINA GRANDE,PB,2018-01-12,,NORDESTE,2024-07-24
17521580 5976591,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,17521580,479787186,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,0,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,5976591,08846255000181,3006204,CLINICA SANTA CLARA LTDA,Assistencia Hospitalar,0,Contratualizado,Indireto,Parcial,250400,CAMPINA GRANDE,PB,2018-01-12,,NORDESTE,2024-07-24
17515982 227380805,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,17515982,479584179,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,1,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,227380805,08830721000130,2613735,INSTITUTO NEUROPSIQUIATRICO DE CAMPINA GRANDE SC LTDA,Assistencia Hospitalar,1,Contratualizado,Indireto,Parcial,250400,CAMPINA GRANDE,PB,2017-12-22,,NORDESTE,2024-07-24
17515972 227380806,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,17515972,479583171,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,0,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,227380806,08833691000116,,CLIPSI CLINICA PRONTO SOC INF E HOSP GERAL,Assistencia Hospitalar,1,Contratualizado,Indireto,Parcial,250400,CAMPINA GRANDE,PB,2017-12-22,,NORDESTE,2024-07-24
17512586 227380806,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,17512586,479578174,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,0,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,227380806,08833691000116,,CLIPSI CLINICA PRONTO SOC INF E HOSP GERAL,Assistencia Hospitalar,1,Contratualizado,Indireto,Parcial,250400,CAMPINA GRANDE,PB,2017-12-22,,NORDESTE,2024-07-24
1331886 5976590,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,1331886,433378001,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,1,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,5976590,70100912000110,3127168,CLIN DE FRATURAS DE CAMPINA GRANDE,Assistencia Hospitalar,0,Contratualizado,Direto,Nao inform,250400,CAMPINA GRANDE,PB,2000-08-23,,NORDESTE,2024-07-24
1331876 5976592,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,1331876,433383007,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,1,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,5976592,08833691000116,2362821,CLIPSI CLIN PRONTO SOCORRO INF E HOSPITAL GERAL,Assistencia Hospitalar,1,Contratualizado,Direto,Parcial,250400,CAMPINA GRANDE,PB,2000-08-23,,NORDESTE,2024-07-24
1331962 5976595,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,1331962,453483042,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,1,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,5976595,08526006000109,2363070,HOSP PEDRO I,Assistencia Hospitalar,1,Contratualizado,Direto,Parcial,250400,CAMPINA GRANDE,PB,2004-12-02,,NORDESTE,2024-07-24
17516091 227380806,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,17516091,479585177,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,0,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,227380806,08833691000116,,CLIPSI CLINICA PRONTO SOC INF E HOSP GERAL,Assistencia Hospitalar,1,Contratualizado,Indireto,Parcial,250400,CAMPINA GRANDE,PB,2017-12-22,,NORDESTE,2024-07-24
17514702 227380930,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,17514702,479580176,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,0,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,227380930,41210014000117,3148815,HOSPITAL DE OLHOS DE CAMPINA GRANDE S S LTDA  EPP,Assistencia Hospitalar,0,Contratualizado,Indireto,Parcial,250400,CAMPINA GRANDE,PB,2017-12-22,,NORDESTE,2024-07-24
17515615 5976591,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,17515615,479581174,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,0,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,5976591,08846255000181,3006204,CLINICA SANTA CLARA LTDA,Assistencia Hospitalar,0,Contratualizado,Indireto,Parcial,250400,CAMPINA GRANDE,PB,2017-12-22,,NORDESTE,2024-07-24
17513592 227380791,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,17513592,479579172,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,1,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,227380791,07678950000119,2613743,SISTEMA DE ASSISTENCIA SOCIAL E DE SAUDE  SAS,Assistencia Hospitalar,0,Contratualizado,Indireto,Parcial,250400,CAMPINA GRANDE,PB,2017-12-22,,NORDESTE,2024-07-24
17521620 5976600,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,17521620,479791184,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,0,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,5976600,40939944000143,3001377,HOSPITAL JOAO PAULO II LTDA,Assistencia Hospitalar,1,Contratualizado,Indireto,Parcial,250750,JOAO PESSOA,PB,2018-01-12,,NORDESTE,2024-07-24
17515902 227380931,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,17515902,479582172,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,1,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,227380931,41226432000100,3039269,CLIM  CLINICA INTEGRADA DA MULHER,Assistencia Hospitalar,1,Contratualizado,Indireto,Parcial,250750,JOAO PESSOA,PB,2017-12-22,,NORDESTE,2024-07-24
17515972 227380931,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,17515972,479583171,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,0,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,227380931,41226432000100,3039269,CLIM  CLINICA INTEGRADA DA MULHER,Assistencia Hospitalar,1,Contratualizado,Indireto,Parcial,250750,JOAO PESSOA,PB,2017-12-22,,NORDESTE,2024-07-24
17515972 227380721,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,17515972,479583171,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,0,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,227380721,01817749000199,7870930,HOSPITAL MEMORIAL NOSSA SENHORA DAS NEVES LTDA  ME,Assistencia Hospitalar,1,Contratualizado,Indireto,Parcial,250750,JOAO PESSOA,PB,2017-12-22,,NORDESTE,2024-07-24
17513592 5976597,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,17513592,479579172,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,1,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,5976597,09129222000183,2400065,HOSP SAMARITANO LTDA,Assistencia Hospitalar,1,Contratualizado,Indireto,Parcial,250750,JOAO PESSOA,PB,2017-12-22,,NORDESTE,2024-07-24
17511542 5976600,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,17511542,479577176,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,1,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,5976600,40939944000143,3001377,HOSPITAL JOAO PAULO II LTDA,Assistencia Hospitalar,1,Contratualizado,Indireto,Parcial,250750,JOAO PESSOA,PB,2017-12-22,,NORDESTE,2024-07-24
17515615 227380931,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,17515615,479581174,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,0,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,227380931,41226432000100,3039269,CLIM  CLINICA INTEGRADA DA MULHER,Assistencia Hospitalar,1,Contratualizado,Indireto,Parcial,250750,JOAO PESSOA,PB,2017-12-22,,NORDESTE,2024-07-24
17515615 227380807,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,17515615,479581174,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,0,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,227380807,09112236000194,2399741,HOSPITAL NAPOLEAO LAUREANO MANT FUND LAUREANO,Assistencia Hospitalar,0,Contratualizado,Indireto,Parcial,250750,JOAO PESSOA,PB,2017-12-22,,NORDESTE,2024-07-24
1331880 5976602,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,1331880,433381001,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,1,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,5976602,09125576000150,2400340,PRONTO SOCORRO CARDIOLOGICO LTDA,Assistencia Hospitalar,1,Contratualizado,Direto,Parcial,250750,JOAO PESSOA,PB,2000-08-23,,NORDESTE,2024-07-24
1331882 5976600,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,1331882,433380002,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,1,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,5976600,40939944000143,3001377,HOSPITAL JOAO PAULO II LTDA,Assistencia Hospitalar,1,Contratualizado,Indireto,Parcial,250750,JOAO PESSOA,PB,2000-08-23,,NORDESTE,2024-07-24
1331934 5976597,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,1331934,410201991,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,1,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,5976597,09129222000183,2400065,HOSP SAMARITANO LTDA,Assistencia Hospitalar,1,Contratualizado,Indireto,Parcial,250750,JOAO PESSOA,PB,2009-10-29,,NORDESTE,2024-07-24
16791001 227380703,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,16791001,479122173,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,0,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,227380703,00853492000168,2755483,CLINICA DOM RODRIGO LTDA,Assistencia Hospitalar,1,Contratualizado,Indireto,Parcial,250750,JOAO PESSOA,PB,2017-09-26,,NORDESTE,2024-07-24
16790920 5976596,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,16790920,479118175,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,0,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,5976596,09127333000150,3043142,AMIP ASSIST MEDICA INFANTIL DA PARAIBA LTDA,Assistencia Hospitalar,1,Contratualizado,Indireto,Parcial,250750,JOAO PESSOA,PB,2017-09-26,,NORDESTE,2024-07-24
16791011 5976596,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,16791011,479123171,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,1,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,5976596,09127333000150,3043142,AMIP ASSIST MEDICA INFANTIL DA PARAIBA LTDA,Assistencia Hospitalar,1,Contratualizado,Indireto,Parcial,250750,JOAO PESSOA,PB,2017-09-26,,NORDESTE,2024-07-24
16791021 5976597,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,16791021,479124170,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,0,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,5976597,09129222000183,2400065,HOSP SAMARITANO LTDA,Assistencia Hospitalar,1,Contratualizado,Indireto,Parcial,250750,JOAO PESSOA,PB,2017-09-26,,NORDESTE,2024-07-24
16790971 227380807,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,16790971,479119173,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,1,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,227380807,09112236000194,2399741,HOSPITAL NAPOLEAO LAUREANO MANT FUND LAUREANO,Assistencia Hospitalar,0,Contratualizado,Indireto,Parcial,250750,JOAO PESSOA,PB,2017-09-26,,NORDESTE,2024-07-24
1331896 5976602,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,1331896,433373000,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,1,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,5976602,09125576000150,2400340,PRONTO SOCORRO CARDIOLOGICO LTDA,Assistencia Hospitalar,1,Contratualizado,Direto,Parcial,250750,JOAO PESSOA,PB,2000-08-23,,NORDESTE,2024-07-24
